20
20
wl;0;0
wl;1;0
wl;2;0
wl;3;0
wl;4;0
wl;5;0
sw;6;0
wl;7;0
wl;8;0
wl;9;0
sw;10;0
wl;11;0
wl;12;0
wl;13;0
wl;14;0
wl;15;0
wl;16;0
wl;17;0
wl;18;0
wl;19;0
wl;0;1
wy;1;1
p;1;1
wl;2;1
wy;3;1
j;3;1
wl;4;1
wl;5;1
wy;6;1
wy;7;1
z;7;1
wl;8;1
sw;9;1
wy;10;1
a;11;1
a;12;1
a;13;1
wy;14;1
wy;15;1
wy;16;1
wy;17;1
wy;18;1
sw;19;1
wl;0;2
wy;1;2
wl;2;2
wy;3;2
wl;4;2
wl;5;2
wy;6;2
wy;7;2
wy;8;2
wl;9;2
wy;10;2
a;11;2
wy;12;2
wl;13;2
wy;14;2
d;15;4
bt;14;2;1
wy;15;2
wy;16;2
wy;17;2
wy;18;2
z;18;2
wl;19;2
wl;0;3
wy;1;3
d;3;3
bt;1;3;1
wl;2;3
wl;4;3
wl;5;3
a;6;3
wl;7;3
wy;8;3
wl;9;3
wy;10;3
a;11;3
wy;12;3
bx;12;3
wl;13;3
wl;14;3
wy;15;3
wl;16;3
wl;17;3
wl;18;3
wl;19;3
wl;0;4
wy;1;4
wl;2;4
wy;3;4
wl;4;4
wl;5;4
a;6;4
wl;7;4
wy;8;4
wy;9;4
wy;10;4
a;11;4
wy;12;4
sw;13;4
wl;14;4
wl;16;4
wy;17;4
wy;18;4
z;18;4
wl;19;4
wl;0;5
wl;2;5
wy;3;5
d;1;5
bt;3;5;1
wl;4;5
wl;5;5
a;6;5
wl;7;5
wy;8;5
z;8;5
wl;9;5
wl;10;5
wl;11;5
wl;12;5
wl;13;5
wl;14;5
wy;15;5
wl;16;5
wy;17;5
wy;18;5
wl;19;5
wl;0;6
wy;1;6
wl;2;6
wy;3;6
wl;4;6
wl;5;6
a;6;6
wl;7;6
wy;8;6
wl;9;6
wy;10;6
z;10;6
wy;11;6
wy;13;6
wl;14;6
wy;15;6
wy;16;6
wy;17;6
wy;18;6
wl;19;6
wl;0;7
wy;1;7
wl;2;7
wy;3;7
wl;4;7
wl;5;7
a;6;7
wl;7;7
wy;8;7
wl;9;7
wl;10;7
a;11;7
a;12;7
wy;13;7
wl;14;7
wl;15;7
wl;16;7
wy;17;7
wy;18;7
wl;19;7
sw;0;8
wy;1;8
a;2;8
wy;3;8
wl;4;8
sw;5;8
wy;6;8
a;7;8
wy;8;8
wl;9;8
sw;10;8
wy;11;8
d;12;6
bt;11;8;1
a;12;8
wy;13;8
wy;14;8
wy;15;8
wy;16;8
wy;17;8
wy;18;8
sw;19;8
sw;0;9
a;1;9
a;2;9
wy;3;9
wl;4;9
wl;5;9
wl;7;9
wl;8;9
wl;9;9
wl;10;9
a;11;9
a;12;9
wy;13;9
wl;14;9
wy;15;9
wy;16;9
wy;17;9
wy;18;9
wl;19;9
sw;0;10
a;1;10
a;2;10
wy;3;10
wl;4;10
wy;5;10
wy;6;10
wy;7;10
wy;8;10
wy;9;10
d;6;9
bt;9;10;2
wl;10;10
wy;11;10
wy;12;10
wy;13;10
wl;14;10
wy;15;10
wl;16;10
wl;17;10
wy;18;10
wl;19;10
sw;0;11
a;1;11
a;2;11
wy;3;11
wl;4;11
wy;5;11
wy;6;11
wy;7;11
wy;8;11
wy;9;11
bx;9;11
wl;10;11
wl;11;11
wl;12;11
wl;13;11
wl;14;11
wy;15;11
bx;15;11
wy;16;11
bx;16;11
wl;17;11
wy;18;11
wl;19;11
sw;0;12
wy;1;12
d;3;13
bt;1;12;1
a;2;12
wy;3;12
wl;4;12
wy;5;12
wy;6;12
wy;7;12
wy;8;12
wy;9;12
bx;9;12
wl;10;12
